day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
1,lab,2,105,247,4,0.2949,0.6938,0.0112,616,616-2,0.27779745737835004,17.263690064550158,1.16157694569372,18.70306446762223,
1,lab,6,112,1313,53,0.0758,0.8884,0.0359,805-12,805-12-7,13.14869727343725,4.346347166032,0.9566027267378399,18.45164716620709,
2,lab,30,125,332,14,0.2654,0.7049,0.0297,805-12,805-12-8,15.149901254576402,4.587652769359,1.0351670101029,20.7727210340383,
2,lab,29,71,136,12,0.3242,0.621,0.0548,616,616-8,0.23362636441194,16.779529237166077,0.9872222708151901,18.00037787239321,
2,lab,28,61,192,8,0.2337,0.7356,0.0307,1416-3,1416-3-7,0.22172803972884,19.716696236013878,1.21264118773983,21.15106546348255,
2,lab,27,251,674,16,0.2667,0.7163,0.017,805-12,805-12-6,14.718953345306401,4.462150963441,0.9823728943962902,20.163477203143692,
2,lab,26,187,517,16,0.2597,0.7181,0.0222,616,616-6,0.15921055907469,19.49345572225369,0.9542417844406499,20.60690806576903,
2,lab,25,313,542,13,0.3606,0.6244,0.015,1416-3,1416-3-5,0.2317204568115,18.552360037371248,1.06247603564478,19.84655652982753,
2,lab,24,161,254,14,0.3753,0.5921,0.0326,616,616-4,0.25970790439557,17.01011198913646,1.0309157289737998,18.300735622505826,
2,lab,23,176,317,11,0.3492,0.629,0.0218,805-12,805-12-2,16.4052348904026,4.496981403946,0.94058974722357,21.842806041572167,
2,lab,22,525,125,14,0.7907,0.1883,0.0211,805-12,805-12-1,8.13934060371549,4.236962556685,0.469507506021,12.84581066642149,
2,lab,21,176,664,34,0.2014,0.7597,0.0389,1416-3,1416-3-8,0.16476791760666,14.58370837466779,0.7298623693288799,15.47833866160333,
2,lab,20,678,1160,52,0.3587,0.6138,0.0275,616,616-7,0.22367523802338002,18.383714861476363,1.01829783984723,19.62568793934697,
2,lab,19,200,828,56,0.1845,0.7638,0.0517,805-12,805-12-5,14.4530845747929,4.467531829369,0.88613930454426,19.806755708706163,
2,lab,18,517,1142,65,0.2999,0.6624,0.0377,1416-3,1416-3-4,0.21889048209957002,16.769725156361112,0.8681138227058399,17.856729461166523,
2,lab,17,373,830,50,0.2977,0.6624,0.0399,616,616-3,0.17288279302752002,18.33107803041964,0.8717914475325901,19.37575227097975,
2,lab,16,276,486,15,0.3552,0.6255,0.0193,1416-3,1416-3-1,0.22506788376684,17.595068131089405,0.83845470246165,18.658590717317896,
3,greenhouse,45,1157,670,13,0.6288,0.3641,0.0071,616,616-8,0.22086695004876,16.265249720337568,0.81759228493554,17.303708955321866,16.265249720337568
3,greenhouse,44,881,787,9,0.5253,0.4693,0.0054,1416-3,1416-3-7,0.22112577269001,15.020279560397217,0.8945622703275301,16.13596760341476,15.020279560397217
3,greenhouse,43,678,1802,59,0.267,0.7097,0.0232,805-12,805-12-6,14.14977584742225,4.404166639573,0.67787909492436,19.23182158191961,4.404166639573
3,greenhouse,42,899,410,7,0.6831,0.3116,0.0053,616,616-6,0.16322901562782,16.872970302208877,0.7296261482394899,17.765825466076187,16.872970302208877
3,greenhouse,41,1404,674,7,0.6734,0.3233,0.0034,1416-3,1416-3-5,0.22577741463285,15.545099021343251,0.8406713647499401,16.61154780072604,15.545099021343251
3,greenhouse,40,1070,1704,51,0.3788,0.6032,0.0181,805-12,805-12-4,13.209118234816229,4.364847027076,0.68725102796712,18.261216289859348,4.364847027076
3,greenhouse,39,1943,881,8,0.6861,0.3111,0.0028,1416-3,1416-3-3,0.22137716474739003,16.175210766030276,0.8884219089303,17.285009839707968,16.175210766030276
3,greenhouse,38,1654,721,10,0.6935,0.3023,0.0042,1416-3,1416-3-2,0.25449035040504,15.876361825826251,0.95634832931649,17.08720050554778,15.876361825826251
3,greenhouse,37,739,800,3,0.4792,0.5188,0.0019,805-12,805-12-1,14.556599094650853,4.4003040088,1.0073938451845499,19.9642969486354,4.4003040088
3,greenhouse,36,853,2374,69,0.2588,0.7203,0.0209,805-12,805-12-7,13.741365258126448,4.38586953988,0.68104110879765,18.8082759068041,4.38586953988
3,greenhouse,35,2302,2424,47,0.4823,0.5079,0.0098,1416-3,1416-3-6,0.25282273042494,15.934913882751639,1.0327926482454601,17.22052926142204,15.934913882751639
3,greenhouse,34,996,673,14,0.5918,0.3999,0.0083,616,616-5,0.185954095560105,15.197090189734809,0.8512741648745099,16.23431845016942,15.197090189734809
3,greenhouse,33,263,838,15,0.2357,0.7509,0.0134,805-12,805-12-3,15.77754445783527,4.4430507570217,0.71731645197048,20.93791166682745,4.4430507570217
3,greenhouse,32,520,654,11,0.4388,0.5519,0.0093,616,616-2,0.19063040897061,16.613848435557504,0.7835642336619899,17.588043078190104,16.613848435557504
3,greenhouse,31,2207,1339,16,0.6196,0.3759,0.0045,616,616-1,0.27625914044226,16.087592849940187,0.8956075901696099,17.259459580552058,16.087592849940187
3,lab,45,2386,517,17,0.8171,0.1771,0.0058,616,616-8,0.22086695004876,16.265249720337568,0.81759228493554,17.303708955321866,
3,lab,44,2106,295,6,0.8749,0.1226,0.0025,1416-3,1416-3-7,0.22112577269001,15.020279560397217,0.8945622703275301,16.13596760341476,
3,lab,43,1544,496,37,0.7434,0.2388,0.0178,805-12,805-12-6,14.14977584742225,4.404166639573,0.67787909492436,19.23182158191961,
3,lab,42,1668,243,2,0.8719,0.127,0.001,616,616-6,0.16322901562782,16.872970302208877,0.7296261482394899,17.765825466076187,
3,lab,41,1570,238,8,0.8645,0.1311,0.0044,1416-3,1416-3-5,0.22577741463285,15.545099021343251,0.8406713647499401,16.61154780072604,
3,lab,40,2800,826,34,0.765,0.2257,0.0093,805-12,805-12-4,13.209118234816229,4.364847027076,0.68725102796712,18.261216289859348,
3,lab,39,2540,394,4,0.8645,0.1341,0.0014,1416-3,1416-3-3,0.22137716474739003,16.175210766030276,0.8884219089303,17.285009839707968,
3,lab,38,1040,214,1,0.8287,0.1705,0.0008,1416-3,1416-3-2,0.25449035040504,15.876361825826251,0.95634832931649,17.08720050554778,
3,lab,37,703,181,1,0.7944,0.2045,0.0011,805-12,805-12-1,14.556599094650853,4.4003040088,1.0073938451845499,19.9642969486354,
3,lab,36,1183,327,12,0.7773,0.2148,0.0079,805-12,805-12-7,13.741365258126448,4.38586953988,0.68104110879765,18.8082759068041,
3,lab,35,919,160,0,0.8517,0.1483,0.0,1416-3,1416-3-6,0.25282273042494,15.934913882751639,1.0327926482454601,17.22052926142204,
3,lab,34,897,122,2,0.8786,0.1195,0.002,616,616-5,0.185954095560105,15.197090189734809,0.8512741648745099,16.23431845016942,
3,lab,33,1110,242,7,0.8168,0.1781,0.0052,805-12,805-12-3,15.77754445783527,4.4430507570217,0.71731645197048,20.93791166682745,
3,lab,32,1194,122,3,0.9052,0.0925,0.0023,616,616-2,0.19063040897061,16.613848435557504,0.7835642336619899,17.588043078190104,
3,lab,31,1528,165,1,0.902,0.0974,0.0006,616,616-1,0.27625914044226,16.087592849940187,0.8956075901696099,17.259459580552058,
4,greenhouse,60,245,5021,646,0.0414,0.8493,0.1093,805-12,805-12-8,14.085180424041479,4.3090289829364,0.8259189890939999,19.22012839607188,4.3090289829364
4,greenhouse,59,1003,3163,127,0.2336,0.7368,0.0296,616,616-8,0.32460728005746,13.39022528338,0.8690430418830001,14.58387560532046,13.39022528338
4,greenhouse,58,1093,3141,117,0.2512,0.7219,0.0269,1416-3,1416-3-7,0.40277847636953995,15.389698406530002,0.95056678197,16.743043664869543,15.389698406530002
4,greenhouse,57,237,4334,814,0.044,0.8048,0.1512,805-12,805-12-6,13.83562083817008,4.3492317018718,0.7279740072449999,18.91282654728688,4.3492317018718
4,greenhouse,56,1597,4465,144,0.2573,0.7195,0.0232,616,616-6,0.26213093396352,15.272635261629999,0.873521287884,16.40828748347752,15.272635261629999
4,greenhouse,55,972,3125,176,0.2275,0.7313,0.0412,1416-3,1416-3-5,0.35451607629951004,17.0080610701,1.00735559289,18.36993273928951,17.0080610701
4,greenhouse,54,2130,6539,189,0.2405,0.7382,0.0213,616,616-4,0.38929335163938,14.06990252641,1.05821354718,15.51740942522938,14.06990252641
4,greenhouse,53,856,4145,262,0.1626,0.7876,0.0498,805-12,805-12-2,11.63053749792726,4.2800442016,0.541131283593,16.45171298312026,4.2800442016
4,greenhouse,52,561,3058,168,0.1481,0.8075,0.0444,805-12,805-12-1,14.573967403766758,4.3214828341252,1.18790507457,20.083355312461958,4.3214828341252
4,greenhouse,51,431,2102,270,0.1538,0.7499,0.0963,1416-3,1416-3-8,0.22148809141526998,12.221672447289999,0.658543004946,13.10170354365127,12.221672447289999
4,greenhouse,50,1144,4559,364,0.1886,0.7514,0.06,616,616-7,0.36580952006433,14.84441964841,1.04503430481615,16.25526347329048,14.84441964841
4,greenhouse,49,408,7129,784,0.049,0.8567,0.0942,805-12,805-12-5,14.408699505928201,4.3807163442835,0.76960593843921,19.55902178865091,4.3807163442835
4,greenhouse,48,786,3363,357,0.1744,0.7463,0.0792,1416-3,1416-3-4,0.14673012741576,13.07116250662,0.72137304934479,13.93926568338055,13.07116250662
4,greenhouse,47,1026,2051,166,0.3164,0.6324,0.0512,616,616-3,0.28550141094033,13.97553721645,0.8049061757835901,15.06594480317392,13.97553721645
4,greenhouse,46,768,2441,276,0.2204,0.7004,0.0792,1416-3,1416-3-1,0.3299365306827,13.412145913060002,0.89714471347215,14.639227157214851,13.412145913060002
4,lab,60,880,3685,528,0.1728,0.7235,0.1037,805-12,805-12-8,14.085180424041479,4.3090289829364,0.8259189890939999,19.22012839607188,
4,lab,59,941,1367,71,0.3955,0.5746,0.0298,616,616-8,0.32460728005746,13.39022528338,0.8690430418830001,14.58387560532046,
4,lab,58,1697,3088,268,0.3358,0.6111,0.053,1416-3,1416-3-7,0.40277847636953995,15.389698406530002,0.95056678197,16.743043664869543,
4,lab,57,511,1741,597,0.1794,0.6111,0.2095,805-12,805-12-6,13.83562083817008,4.3492317018718,0.7279740072449999,18.91282654728688,
4,lab,56,975,1870,190,0.3213,0.6161,0.0626,616,616-6,0.26213093396352,15.272635261629999,0.873521287884,16.40828748347752,
4,lab,55,1209,1927,105,0.373,0.5946,0.0324,1416-3,1416-3-5,0.35451607629951004,17.0080610701,1.00735559289,18.36993273928951,
4,lab,54,990,2184,210,0.2926,0.6454,0.0621,616,616-4,0.38929335163938,14.06990252641,1.05821354718,15.51740942522938,
4,lab,53,957,2640,377,0.2408,0.6643,0.0949,805-12,805-12-2,11.63053749792726,4.2800442016,0.541131283593,16.45171298312026,
4,lab,52,710,1740,192,0.2687,0.6586,0.0727,805-12,805-12-1,14.573967403766758,4.3214828341252,1.18790507457,20.083355312461958,
4,lab,51,807,1746,164,0.297,0.6426,0.0604,1416-3,1416-3-8,0.22148809141526998,12.221672447289999,0.658543004946,13.10170354365127,
4,lab,50,536,1437,117,0.2565,0.6876,0.056,616,616-7,0.36580952006433,14.84441964841,1.04503430481615,16.25526347329048,
4,lab,49,428,1981,414,0.1516,0.7017,0.1467,805-12,805-12-5,14.408699505928201,4.3807163442835,0.76960593843921,19.55902178865091,
4,lab,48,883,2393,204,0.2537,0.6876,0.0586,1416-3,1416-3-4,0.14673012741576,13.07116250662,0.72137304934479,13.93926568338055,
