day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_5_2024_12_24,lab,71,730,1959,158,0.2564,0.6881,0.0555
day_5_2024_12_24,lab,70,1571,2302,261,0.38,0.5568,0.0631
day_5_2024_12_24,lab,69,1359,3309,235,0.2772,0.6749,0.0479
day_5_2024_12_24,lab,68,497,1437,101,0.2442,0.7061,0.0496
day_5_2024_12_24,lab,67,389,666,68,0.3464,0.5931,0.0606
day_5_2024_12_24,lab,66,317,948,119,0.229,0.685,0.086
day_5_2024_12_24,lab,65,259,828,96,0.2189,0.6999,0.0811
day_5_2024_12_24,lab,64,339,994,68,0.242,0.7095,0.0485
day_5_2024_12_24,lab,63,728,2171,206,0.2345,0.6992,0.0663
day_5_2024_12_24,lab,62,725,1591,54,0.3059,0.6713,0.0228
day_5_2024_12_24,lab,61,575,1199,44,0.3163,0.6595,0.0242
day_6_2024_12_30,greenhouse,90,145,2118,373,0.055,0.8035,0.1415
day_6_2024_12_30,greenhouse,89,1147,1461,42,0.4328,0.5513,0.0158
day_6_2024_12_30,greenhouse,88,773,1601,120,0.3099,0.6419,0.0481
day_6_2024_12_30,greenhouse,87,432,2082,137,0.163,0.7854,0.0517
day_6_2024_12_30,greenhouse,86,1311,1529,44,0.4546,0.5302,0.0153
day_6_2024_12_30,greenhouse,85,795,1891,79,0.2875,0.6839,0.0286
day_6_2024_12_30,greenhouse,84,1480,1408,55,0.5029,0.4784,0.0187
day_6_2024_12_30,greenhouse,83,391,1184,117,0.2311,0.6998,0.0691
day_6_2024_12_30,greenhouse,82,458,1267,63,0.2562,0.7086,0.0352
day_6_2024_12_30,greenhouse,81,249,1283,201,0.1437,0.7403,0.116
day_6_2024_12_30,greenhouse,80,536,1756,73,0.2266,0.7425,0.0309
day_6_2024_12_30,greenhouse,79,79,720,83,0.0896,0.8163,0.0941
day_6_2024_12_30,greenhouse,78,106,559,47,0.1489,0.7851,0.066
day_6_2024_12_30,greenhouse,77,507,1072,21,0.3169,0.67,0.0131
day_6_2024_12_30,greenhouse,76,87,591,44,0.1205,0.8186,0.0609
day_7_2025_01_06,greenhouse,104,808,1437,81,0.3474,0.6178,0.0348
day_7_2025_01_06,greenhouse,105,1307,2108,130,0.3687,0.5946,0.0367
day_7_2025_01_06,greenhouse,103,139,1804,681,0.053,0.6875,0.2595
day_7_2025_01_06,greenhouse,102,679,2108,248,0.2237,0.6946,0.0817
day_7_2025_01_06,greenhouse,101,381,1590,195,0.1759,0.7341,0.09
day_7_2025_01_06,greenhouse,100,698,3317,362,0.1595,0.7578,0.0827
day_7_2025_01_06,greenhouse,99,484,1900,173,0.1893,0.7431,0.0677
day_7_2025_01_06,greenhouse,98,206,757,122,0.1899,0.6977,0.1124
day_7_2025_01_06,greenhouse,97,383,1873,101,0.1625,0.7947,0.0429
day_7_2025_01_06,greenhouse,96,131,1290,262,0.0778,0.7665,0.1557
day_7_2025_01_06,greenhouse,95,437,1550,268,0.1938,0.6874,0.1188
day_7_2025_01_06,greenhouse,94,1312,2008,89,0.3849,0.589,0.0261
day_7_2025_01_06,greenhouse,93,373,1877,272,0.1479,0.7443,0.1079
day_7_2025_01_06,greenhouse,92,557,1715,128,0.2321,0.7146,0.0533
day_7_2025_01_06,greenhouse,91,293,1325,120,0.1686,0.7624,0.069
day_7_2025_01_06,lab,104,606,1860,176,0.2294,0.704,0.0666
day_7_2025_01_06,lab,105,903,1963,188,0.2957,0.6428,0.0616
day_7_2025_01_06,lab,103,634,2012,578,0.1967,0.6241,0.1793
day_7_2025_01_06,lab,102,895,2119,179,0.2803,0.6636,0.0561
day_7_2025_01_06,lab,101,667,2244,196,0.2147,0.7222,0.0631
day_7_2025_01_06,lab,100,979,2440,553,0.2465,0.6143,0.1392
day_7_2025_01_06,lab,99,943,2996,242,0.2255,0.7166,0.0579
day_7_2025_01_06,lab,98,600,1963,187,0.2182,0.7138,0.068
day_7_2025_01_06,lab,97,697,1915,281,0.2409,0.6619,0.0971
day_7_2025_01_06,lab,96,655,1725,321,0.2425,0.6387,0.1188
day_7_2025_01_06,lab,95,640,2295,205,0.2038,0.7309,0.0653
day_7_2025_01_06,lab,94,898,2207,149,0.276,0.6782,0.0458
day_7_2025_01_06,lab,93,403,1706,347,0.1641,0.6946,0.1413
day_7_2025_01_06,lab,92,1039,2449,116,0.2883,0.6795,0.0322
day_7_2025_01_06,lab,91,964,2355,132,0.2793,0.6824,0.0382
day_8_2025_01_09,greenhouse,120,309,3107,1240,0.0664,0.6673,0.2663
day_8_2025_01_09,greenhouse,119,1166,4234,333,0.2034,0.7385,0.0581
day_8_2025_01_09,greenhouse,118,235,3152,1145,0.0519,0.6955,0.2526
day_8_2025_01_09,greenhouse,117,1568,4681,253,0.2412,0.7199,0.0389
day_8_2025_01_09,greenhouse,116,398,2291,173,0.1391,0.8005,0.0604
