day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_8_2025_01_09,greenhouse,119,2139,3291,171,0.3819,0.5876,0.0305
day_8_2025_01_09,greenhouse,120,603,3099,864,0.1321,0.6787,0.1892
day_8_2025_01_09,lab,106,2411,3446,284,0.3926,0.5611,0.0462
day_8_2025_01_09,lab,107,2002,2150,122,0.4684,0.503,0.0285
day_8_2025_01_09,lab,108,1084,1271,172,0.429,0.503,0.0681
day_8_2025_01_09,lab,109,583,1722,374,0.2176,0.6428,0.1396
day_8_2025_01_09,lab,110,969,1068,119,0.4494,0.4954,0.0552
day_8_2025_01_09,lab,111,1545,2045,203,0.4073,0.5392,0.0535
day_8_2025_01_09,lab,112,988,2043,619,0.2707,0.5597,0.1696
day_8_2025_01_09,lab,113,1361,1923,339,0.3757,0.5308,0.0936
day_8_2025_01_09,lab,114,1550,2020,453,0.3853,0.5021,0.1126
day_8_2025_01_09,lab,115,1594,1392,172,0.5047,0.4408,0.0545
day_8_2025_01_09,lab,116,1413,1352,112,0.4911,0.4699,0.0389
day_8_2025_01_09,lab,117,1844,2191,86,0.4475,0.5317,0.0209
day_8_2025_01_09,lab,118,1637,2564,658,0.3369,0.5277,0.1354
day_8_2025_01_09,lab,119,2031,1894,111,0.5032,0.4693,0.0275
day_8_2025_01_09,lab,120,1572,2013,1244,0.3255,0.4169,0.2576
day_9_2025_01_16,greenhouse,136,991,2429,212,0.2729,0.6688,0.0584
day_9_2025_01_16,greenhouse,137,1590,2433,90,0.3866,0.5915,0.0219
day_9_2025_01_16,greenhouse,138,727,4227,858,0.1251,0.7273,0.1476
day_9_2025_01_16,greenhouse,139,2382,3886,136,0.372,0.6068,0.0212
day_9_2025_01_16,greenhouse,140,904,4942,948,0.1331,0.7274,0.1395
day_9_2025_01_16,greenhouse,141,1112,2564,315,0.2786,0.6424,0.0789
day_9_2025_01_16,greenhouse,142,2048,3318,372,0.3569,0.5783,0.0648
day_9_2025_01_16,greenhouse,143,1080,2349,619,0.2668,0.5803,0.1529
day_9_2025_01_16,greenhouse,144,850,2052,199,0.2741,0.6617,0.0642
day_9_2025_01_16,greenhouse,145,785,3684,1084,0.1414,0.6634,0.1952
day_9_2025_01_16,greenhouse,146,1298,3063,391,0.2731,0.6446,0.0823
day_9_2025_01_16,greenhouse,147,2109,3126,144,0.3921,0.5811,0.0268
day_9_2025_01_16,greenhouse,148,1145,4706,1120,0.1643,0.6751,0.1607
day_9_2025_01_16,greenhouse,149,1812,3500,136,0.3326,0.6424,0.025
day_9_2025_01_16,greenhouse,150,586,3041,788,0.1327,0.6888,0.1785
day_9_2025_01_16,lab,136,1007,1307,129,0.4122,0.535,0.0528
day_9_2025_01_16,lab,137,1363,1286,77,0.5,0.4718,0.0282
day_9_2025_01_16,lab,138,892,1688,420,0.2973,0.5627,0.14
day_9_2025_01_16,lab,139,1316,1137,104,0.5147,0.4447,0.0407
day_9_2025_01_16,lab,140,682,993,439,0.3226,0.4697,0.2077
day_9_2025_01_16,lab,141,743,966,125,0.4051,0.5267,0.0682
day_9_2025_01_16,lab,142,1560,1453,129,0.4965,0.4624,0.0411
day_9_2025_01_16,lab,143,515,633,138,0.4005,0.4922,0.1073
day_9_2025_01_16,lab,144,710,1067,109,0.3765,0.5657,0.0578
day_9_2025_01_16,lab,145,677,1556,516,0.2463,0.566,0.1877
day_9_2025_01_16,lab,146,1309,1774,263,0.3912,0.5302,0.0786
day_9_2025_01_16,lab,147,1990,1654,114,0.5295,0.4401,0.0303
day_9_2025_01_16,lab,148,698,1439,343,0.2815,0.5802,0.1383
day_9_2025_01_16,lab,149,1614,2223,132,0.4067,0.5601,0.0333
day_9_2025_01_16,lab,150,796,1950,1427,0.1908,0.4673,0.342
