day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
3,lab,33,530,782,6,0.4021,0.5933,0.0046,805-12,805-12-3,15.77754445783527,4.4430507570217,0.71731645197048,20.93791166682745,
3,lab,34,556,452,4,0.5494,0.4466,0.004,616,616-5,0.185954095560105,15.197090189734809,0.8512741648745099,16.23431845016942,
3,lab,35,621,444,3,0.5815,0.4157,0.0028,1416-3,1416-3-6,0.25282273042494,15.934913882751639,1.0327926482454601,17.22052926142204,
3,lab,36,571,882,11,0.39,0.6025,0.0075,805-12,805-12-7,13.741365258126448,4.38586953988,0.68104110879765,18.8082759068041,
3,lab,37,317,537,7,0.3682,0.6237,0.0081,805-12,805-12-1,14.556599094650853,4.4003040088,1.0073938451845499,19.9642969486354,
3,lab,38,749,475,8,0.608,0.3856,0.0065,1416-3,1416-3-2,0.25449035040504,15.876361825826251,0.95634832931649,17.08720050554778,
3,lab,39,1886,977,14,0.6555,0.3396,0.0049,1416-3,1416-3-3,0.22137716474739003,16.175210766030276,0.8884219089303,17.285009839707968,
3,lab,40,1280,2238,17,0.3621,0.6331,0.0048,805-12,805-12-4,13.209118234816229,4.364847027076,0.68725102796712,18.261216289859348,
3,lab,41,1158,613,9,0.6506,0.3444,0.0051,1416-3,1416-3-5,0.22577741463285,15.545099021343251,0.8406713647499401,16.61154780072604,
3,lab,42,995,871,13,0.5295,0.4635,0.0069,616,616-6,0.16322901562782,16.872970302208877,0.7296261482394899,17.765825466076187,
3,lab,43,880,1091,31,0.4396,0.545,0.0155,805-12,805-12-6,14.14977584742225,4.404166639573,0.67787909492436,19.23182158191961,
3,lab,44,1498,862,13,0.6313,0.3633,0.0055,1416-3,1416-3-7,0.22112577269001,15.020279560397217,0.8945622703275301,16.13596760341476,
3,lab,45,1519,1329,19,0.5298,0.4636,0.0066,616,616-8,0.22086695004876,16.265249720337568,0.81759228493554,17.303708955321866,
4,greenhouse,46,1229,1972,184,0.3631,0.5826,0.0544,1416-3,1416-3-1,0.3299365306827,13.412145913060002,0.89714471347215,14.639227157214851,13.412145913060002
4,greenhouse,47,1256,1809,91,0.398,0.5732,0.0288,616,616-3,0.28550141094033,13.97553721645,0.8049061757835901,15.06594480317392,13.97553721645
4,greenhouse,48,1314,2920,168,0.2985,0.6633,0.0382,1416-3,1416-3-4,0.14673012741576,13.07116250662,0.72137304934479,13.93926568338055,13.07116250662
4,greenhouse,49,658,7151,422,0.0799,0.8688,0.0513,805-12,805-12-5,14.408699505928201,4.3807163442835,0.76960593843921,19.55902178865091,4.3807163442835
4,greenhouse,50,1842,3893,170,0.3119,0.6593,0.0288,616,616-7,0.36580952006433,14.84441964841,1.04503430481615,16.25526347329048,14.84441964841
4,greenhouse,51,974,1628,136,0.3557,0.5946,0.0497,1416-3,1416-3-8,0.22148809141526998,12.221672447289999,0.658543004946,13.10170354365127,12.221672447289999
4,greenhouse,52,519,3098,79,0.1404,0.8382,0.0214,805-12,805-12-1,14.573967403766758,4.3214828341252,1.18790507457,20.083355312461958,4.3214828341252
4,greenhouse,53,746,4301,112,0.1446,0.8337,0.0217,805-12,805-12-2,11.63053749792726,4.2800442016,0.541131283593,16.45171298312026,4.2800442016
4,greenhouse,54,2621,5946,62,0.3037,0.6891,0.0072,616,616-4,0.38929335163938,14.06990252641,1.05821354718,15.51740942522938,14.06990252641
4,greenhouse,55,1419,2645,91,0.3415,0.6366,0.0219,1416-3,1416-3-5,0.35451607629951004,17.0080610701,1.00735559289,18.36993273928951,17.0080610701
4,greenhouse,56,2009,3977,57,0.3325,0.6581,0.0094,616,616-6,0.26213093396352,15.272635261629999,0.873521287884,16.40828748347752,15.272635261629999
4,greenhouse,57,443,4373,491,0.0835,0.824,0.0925,805-12,805-12-6,13.83562083817008,4.3492317018718,0.7279740072449999,18.91282654728688,4.3492317018718
4,greenhouse,58,1522,2644,50,0.361,0.6271,0.0119,1416-3,1416-3-7,0.40277847636953995,15.389698406530002,0.95056678197,16.743043664869543,15.389698406530002
4,greenhouse,59,1634,2494,56,0.3905,0.5961,0.0134,616,616-8,0.32460728005746,13.39022528338,0.8690430418830001,14.58387560532046,13.39022528338
4,greenhouse,60,576,4889,385,0.0985,0.8357,0.0658,805-12,805-12-8,14.085180424041479,4.3090289829364,0.8259189890939999,19.22012839607188,4.3090289829364
4,lab,46,2069,1663,52,0.5468,0.4395,0.0137,1416-3,1416-3-1,0.3299365306827,13.412145913060002,0.89714471347215,14.639227157214851,
4,lab,47,871,897,33,0.4836,0.4981,0.0183,616,616-3,0.28550141094033,13.97553721645,0.8049061757835901,15.06594480317392,
4,lab,48,1585,1727,81,0.4671,0.509,0.0239,1416-3,1416-3-4,0.14673012741576,13.07116250662,0.72137304934479,13.93926568338055,
4,lab,49,742,1816,191,0.2699,0.6606,0.0695,805-12,805-12-5,14.408699505928201,4.3807163442835,0.76960593843921,19.55902178865091,
4,lab,50,989,1011,36,0.4858,0.4966,0.0177,616,616-7,0.36580952006433,14.84441964841,1.04503430481615,16.25526347329048,
4,lab,51,1344,1233,60,0.5097,0.4676,0.0228,1416-3,1416-3-8,0.22148809141526998,12.221672447289999,0.658543004946,13.10170354365127,
4,lab,52,1089,1376,102,0.4242,0.536,0.0397,805-12,805-12-1,14.573967403766758,4.3214828341252,1.18790507457,20.083355312461958,
4,lab,53,1427,2261,169,0.37,0.5862,0.0438,805-12,805-12-2,11.63053749792726,4.2800442016,0.541131283593,16.45171298312026,
4,lab,54,1592,1608,69,0.487,0.4919,0.0211,616,616-4,0.38929335163938,14.06990252641,1.05821354718,15.51740942522938,
4,lab,55,1697,1396,54,0.5392,0.4436,0.0172,1416-3,1416-3-5,0.35451607629951004,17.0080610701,1.00735559289,18.36993273928951,
4,lab,56,1455,1410,90,0.4924,0.4772,0.0305,616,616-6,0.26213093396352,15.272635261629999,0.873521287884,16.40828748347752,
4,lab,57,733,1710,324,0.2649,0.618,0.1171,805-12,805-12-6,13.83562083817008,4.3492317018718,0.7279740072449999,18.91282654728688,
4,lab,58,2338,2439,132,0.4763,0.4968,0.0269,1416-3,1416-3-7,0.40277847636953995,15.389698406530002,0.95056678197,16.743043664869543,
4,lab,59,1237,1021,43,0.5376,0.4437,0.0187,616,616-8,0.32460728005746,13.39022528338,0.8690430418830001,14.58387560532046,
4,lab,60,1449,3209,313,0.2915,0.6455,0.063,805-12,805-12-8,14.085180424041479,4.3090289829364,0.8259189890939999,19.22012839607188,
5,greenhouse,61,327,871,21,0.2683,0.7145,0.0172,616,616-1,0.28707986539367997,16.462270649713027,0.9461470015630801,17.695497516669786,16.462270649713027
5,greenhouse,62,228,873,39,0.2,0.7658,0.0342,616,616-2,0.22038456578777998,16.68237593791,0.88750387792467,17.790264381622446,16.68237593791
5,greenhouse,63,145,974,43,0.1248,0.8382,0.037,805-12,805-12-3,14.329304594321489,4.360733473666,0.74046681364824,19.430504881635727,4.360733473666
5,greenhouse,64,265,736,67,0.2481,0.6891,0.0627,616,616-5,0.26911774935486,16.14690731746041,0.9136181486130299,17.329643215428298,16.14690731746041
5,greenhouse,65,375,574,82,0.3637,0.5567,0.0795,1416-3,1416-3-6,0.17216381177046,13.563953409291402,0.7630731631793701,14.499190384241233,13.563953409291402
5,greenhouse,66,99,1267,119,0.0667,0.8532,0.0801,805-12,805-12-7,12.822887170985219,4.320538870027,0.6904040222754001,17.833830063287618,4.320538870027
5,greenhouse,67,99,1213,12,0.0748,0.9162,0.0091,805-12,805-12-1,14.29977499098831,4.37978298802,1.05991070665194,19.73946868566025,4.37978298802
5,greenhouse,68,214,605,11,0.2578,0.7289,0.0133,1416-3,1416-3-2,0.30253465792025996,14.278779118936056,0.8210063487368701,15.402320125593185,14.278779118936056
5,greenhouse,69,327,731,17,0.3042,0.68,0.0158,1416-3,1416-3-3,0.26501967666702,15.295088697080834,0.85551690947877,16.415625283226625,15.295088697080834
5,greenhouse,70,216,1576,23,0.119,0.8683,0.0127,805-12,805-12-4,12.95290759667103,4.328351570182,0.78021004349088,18.06146921034391,4.328351570182
5,greenhouse,71,82,449,10,0.1516,0.8299,0.0185,1416-3,1416-3-5,0.19864917762966,13.707006106896895,0.6679991756936701,14.573654460220224,13.707006106896895
5,greenhouse,72,801,982,46,0.4379,0.5369,0.0252,616,616-6,0.22901678743932,17.17017903612675,0.9076219947019801,18.30681781826805,17.17017903612675
5,greenhouse,73,217,1306,78,0.1355,0.8157,0.0487,805-12,805-12-6,12.610833819327722,4.345028488378903,0.7372721224903501,17.693134430196974,4.345028488378903
5,greenhouse,74,1027,1400,60,0.4129,0.5629,0.0241,1416-3,1416-3-7,0.33825180890735995,15.590204228467176,0.97924524820155,16.907701285576085,15.590204228467176
5,greenhouse,75,923,1119,24,0.4468,0.5416,0.0116,616,616-8,0.17665436782548,15.025219909015856,0.6685126746300001,15.870386951471335,15.025219909015856
5,lab,61,623,1126,12,0.3538,0.6394,0.0068,616,616-1,0.28707986539367997,16.462270649713027,0.9461470015630801,17.695497516669786,
5,lab,62,696,1595,10,0.3025,0.6932,0.0043,616,616-2,0.22038456578777998,16.68237593791,0.88750387792467,17.790264381622446,
5,lab,63,604,2323,78,0.201,0.773,0.026,805-12,805-12-3,14.329304594321489,4.360733473666,0.74046681364824,19.430504881635727,
5,lab,64,436,911,16,0.3199,0.6684,0.0117,616,616-5,0.26911774935486,16.14690731746041,0.9136181486130299,17.329643215428298,
